T,TM,Tm,SLP,H,W,V,VM,PM 2.5
27.6,33.7,22.4,1007.2,40.0,4.0,13.9,22.2,15.166666666666666

27.8,36.0,21.8,1007.8,35.0,5.5,10.6,18.3,21.25

nan,nan,nan,nan,nan,nan,nan,nan,25.75

nan,nan,nan,nan,nan,nan,nan,nan,52.41666666666666

nan,nan,nan,nan,nan,nan,nan,nan,89.0

29.7,38.8,19.5,1005.2,30.0,5.5,4.1,11.1,81.83333333333333

30.8,39.8,22.4,1005.7,27.0,4.0,13.7,25.9,105.33333333333331

31.4,40.2,20.4,1005.7,29.0,4.0,10.4,16.5,117.75

nan,nan,nan,nan,nan,nan,nan,nan,20.791666666666668

nan,nan,nan,nan,nan,nan,nan,nan,64.79166666666667

nan,nan,nan,nan,nan,nan,nan,nan,87.375

31.7,39.7,24.8,1006.6,23.0,4.0,18.1,31.3,84.5

31.7,39.3,24.4,1005.6,21.0,3.7,13.5,22.2,46.91666666666666

32.1,39.3,23.7,1004.0,22.0,4.0,14.4,25.9,104.625

nan,nan,nan,nan,nan,nan,nan,nan,109.625

nan,nan,nan,nan,nan,nan,nan,nan,63.458333333333336

nan,nan,nan,nan,nan,nan,nan,nan,77.04166666666667

26.4,34.4,19.6,1004.7,44.0,3.5,22.2,55.4,110.875

25.5,29.8,17.8,1006.2,52.0,4.0,12.6,29.4,42.958333333333336

25.8,33.4,17.0,1006.5,47.0,4.0,14.1,33.5,0.0

nan,nan,nan,nan,nan,nan,nan,nan,30.875

nan,nan,nan,nan,nan,nan,nan,nan,75.58333333333333

nan,nan,nan,nan,nan,nan,nan,nan,106.95833333333331

31.5,40.3,25.1,1006.9,43.0,3.7,12.8,24.1,120.875

32.7,39.3,24.1,1006.6,34.0,4.0,19.1,27.8,79.91666666666667

32.4,39.6,24.6,1005.4,30.0,4.0,9.6,14.8,0.0

nan,nan,nan,nan,nan,nan,nan,nan,0.0

nan,nan,nan,nan,nan,nan,nan,nan,0.0

nan,nan,nan,nan,nan,nan,nan,nan,38.5

33.6,42.6,25.2,1002.5,26.0,4.0,13.9,31.3,94.75

33.0,41.2,22.0,1001.1,23.0,4.0,13.1,22.2,142.5

33.0,40.6,21.3,1000.2,20.0,4.0,14.3,22.2,133.375

nan,nan,nan,nan,nan,nan,nan,nan,102.41666666666669

nan,nan,nan,nan,nan,nan,nan,nan,101.75

nan,nan,nan,nan,nan,nan,nan,nan,117.95833333333331

34.5,42.8,26.5,1002.3,25.0,4.0,15.0,29.4,147.83333333333334

35.7,42.8,25.6,1002.0,22.0,4.0,18.9,27.8,158.29166666666666

34.0,42.2,27.8,1002.9,19.0,4.0,19.4,27.8,149.58333333333334

nan,nan,nan,nan,nan,nan,nan,nan,107.29166666666669

nan,nan,nan,nan,nan,nan,nan,nan,96.25

nan,nan,nan,nan,nan,nan,nan,nan,76.25

32.1,38.8,23.8,1002.8,36.0,4.0,9.4,14.8,101.5

32.5,40.1,24.0,1001.3,30.0,4.0,9.1,18.3,106.5

34.1,42.2,24.2,1000.5,28.0,4.0,8.1,18.3,128.125

nan,nan,nan,nan,nan,nan,nan,nan,108.0

nan,nan,nan,nan,nan,nan,nan,nan,125.625

nan,nan,nan,nan,nan,nan,nan,nan,137.16666666666666

37.0,44.8,29.0,1000.6,19.0,4.0,15.7,27.8,101.95833333333331

37.1,44.3,28.2,1000.7,17.0,4.0,13.0,22.2,98.41666666666669

36.7,43.7,27.9,1001.2,18.0,4.0,23.5,37,94.375

nan,nan,nan,nan,nan,nan,nan,nan,118.5

nan,nan,nan,nan,nan,nan,nan,nan,89.54166666666667

nan,nan,nan,nan,nan,nan,nan,nan,87.25

35.0,41.3,30.2,1000.9,31.0,4.0,27.0,37,107.625

34.7,41.4,29.8,1001.4,31.0,4.0,24.1,33.5,110.41666666666669

34.3,40.7,29.5,1001.7,37.0,4.0,23.5,35.2,95.83333333333331

nan,nan,nan,nan,nan,nan,nan,nan,93.5

nan,nan,nan,nan,nan,nan,nan,nan,97.625

nan,nan,nan,nan,nan,nan,nan,nan,76.95833333333333

35.2,42.6,28.6,997.8,25.0,4.0,17.2,33.5,72.25

33.8,42.3,28.4,999.0,32.0,4.0,13.7,27.8,38.66666666666666

33.3,39.4,28.2,999.7,39.0,4.0,12.0,25.9,45.375

34.1,40.5,29.2,999.4,40.0,4.0,11.5,16.5,65.16666666666667

nan,nan,nan,nan,nan,nan,nan,nan,67.08333333333333

nan,nan,nan,nan,nan,nan,nan,nan,80.04166666666667

nan,nan,nan,nan,nan,nan,nan,nan,74.16666666666667

28.4,33.9,23.0,1000.8,69.0,3.7,13.5,24.1,66.08333333333333

28.7,37.3,24.6,999.4,71.0,4.0,12.8,33.5,77.66666666666667

29.2,35.8,24.0,999.1,69.0,4.0,12.8,22.2,70.25

nan,nan,nan,nan,nan,nan,nan,nan,75.125

nan,nan,nan,nan,nan,nan,nan,nan,37.16666666666666

nan,nan,nan,nan,nan,nan,nan,nan,57.375

26.2,33.4,21.8,996.8,81.0,3.7,9.3,22.2,56.29166666666666

28.3,35.0,23.6,994.9,78.0,3.7,12.6,20.6,77.0

26.0,31.3,24.6,994.6,90.0,3.7,4.1,11.1,32.958333333333336

nan,nan,nan,nan,nan,nan,nan,nan,40.833333333333336

nan,nan,nan,nan,nan,nan,nan,nan,42.54166666666666

nan,nan,nan,nan,nan,nan,nan,nan,93.08333333333331

27.7,33.3,23.2,1000.0,76.0,3.5,10.9,14.8,80.625

28.7,35.4,24.3,1000.5,67.0,3.7,16.1,22.2,90.70833333333331

26.4,32.3,22.4,1000.5,81.0,3.5,21.9,33.5,97.29166666666669

nan,nan,nan,nan,nan,nan,nan,nan,79.83333333333333

nan,nan,nan,nan,nan,nan,nan,nan,87.75

nan,nan,nan,nan,nan,nan,nan,nan,63.5

25.5,32.0,22.0,999.7,89.0,3.1,16.3,25.9,50.708333333333336

23.8,26.3,22.0,1001.5,96.0,1.1,18.5,25.9,40.375

24.2,25.1,22.4,1001.3,94.0,2.9,23.3,33.5,49.41666666666666

nan,nan,nan,nan,nan,nan,nan,nan,43.66666666666666

nan,nan,nan,nan,nan,nan,nan,nan,52.16666666666666

nan,nan,nan,nan,nan,nan,nan,nan,49.583333333333336

24.2,28.8,22.0,999.6,89.0,3.5,14.4,25.9,61.875

23.4,25.7,21.4,998.0,94.0,1.9,14.1,24.1,0.0

24.7,28.3,22.4,995.9,94.0,2.3,6.3,18.3,29.666666666666668

nan,nan,nan,nan,nan,nan,nan,nan,47.75

nan,nan,nan,nan,nan,nan,nan,nan,37.708333333333336

nan,nan,nan,nan,nan,nan,nan,nan,33.083333333333336

27.3,31.1,24.2,1001.8,83.0,3.7,12.2,22.2,49.125

26.7,31.3,24.6,1000.5,86.0,3.1,11.9,18.3,43.66666666666666

26.4,30.3,23.5,999.6,89.0,3.2,15.4,25.9,29.83333333333333

nan,nan,nan,nan,nan,nan,nan,nan,29.666666666666668

nan,nan,nan,nan,nan,nan,nan,nan,56.708333333333336

nan,nan,nan,nan,nan,nan,nan,nan,39.25

25.9,28.8,24.6,998.6,92.0,3.2,14.4,18.3,35.208333333333336

25.0,26.8,23.9,1000.2,91.0,3.1,19.6,27.8,37.625

24.9,26.8,24.0,1000.1,91.0,3.1,11.9,18.3,41.458333333333336

nan,nan,nan,nan,nan,nan,nan,nan,53.125

nan,nan,nan,nan,nan,nan,nan,nan,54.875

nan,nan,nan,nan,nan,nan,nan,nan,65.75

25.4,27.0,24.0,997.4,93.0,2.3,15.4,22.2,38.583333333333336

25.4,27.8,23.8,999.4,90.0,2.7,15.2,22.2,36.0

24.7,26.3,23.2,998.4,92.0,2.7,16.5,22.2,70.58333333333333

nan,nan,nan,nan,nan,nan,nan,nan,52.458333333333336

nan,nan,nan,nan,nan,nan,nan,nan,36.583333333333336

nan,nan,nan,nan,nan,nan,nan,nan,45.583333333333336

25.2,27.9,23.5,996.7,95.0,2.7,13.7,18.3,33.166666666666664

24.6,27.9,23.1,996.8,94.0,3.2,18.5,24.1,38.25

23.8,24.8,22.9,999.6,98.0,1.6,16.1,22.2,26.58333333333333

nan,nan,nan,nan,nan,nan,nan,nan,57.583333333333336

nan,nan,nan,nan,nan,nan,nan,nan,30.70833333333333

nan,nan,nan,nan,nan,nan,nan,nan,35.375

24.7,27.3,23.4,996.5,95.0,2.9,24.3,29.4,15.416666666666666

25.7,30.4,23.2,995.3,91.0,3.7,8.9,18.3,41.375

26.2,30.1,24.3,997.5,89.0,3.7,15.6,25.9,25.541666666666668

24.6,28.2,23.2,1002.4,92.0,3.1,13.3,22.2,28.375

nan,nan,nan,nan,nan,nan,nan,nan,40.333333333333336

nan,nan,nan,nan,nan,nan,nan,nan,39.333333333333336

nan,nan,nan,nan,nan,nan,nan,nan,41.833333333333336

24.3,27.7,23.6,1004.2,94.0,2.4,15.2,25.9,50.333333333333336

24.6,27.8,23.4,1003.9,90.0,1.9,17.6,25.9,35.375

23.3,24.7,22.6,1003.0,96.0,1.9,18.7,27.8,31.916666666666668

nan,nan,nan,nan,nan,nan,nan,nan,36.79166666666666

nan,nan,nan,nan,nan,nan,nan,nan,33.291666666666664

nan,nan,nan,nan,nan,nan,nan,nan,35.5

24.3,26.3,23.4,1001.0,95.0,2.1,11.1,25.9,35.291666666666664

26.1,29.9,23.3,1002.1,86.0,3.5,10.2,14.8,26.83333333333333

26.3,30.2,22.9,1003.6,83.0,3.7,11.1,18.3,21.125

nan,nan,nan,nan,nan,nan,nan,nan,18.0

nan,nan,nan,nan,nan,nan,nan,nan,28.041666666666668

nan,nan,nan,nan,nan,nan,nan,nan,34.875

23.4,24.7,22.6,1001.8,96.0,1.9,22.6,25.9,35.708333333333336

22.7,23.6,22.2,1000.6,95.0,1.9,26.1,29.4,43.583333333333336

23.4,25.0,22.1,1000.8,93.0,2.6,22.6,33.5,46.04166666666666

nan,nan,nan,nan,nan,nan,nan,nan,28.75

nan,nan,nan,nan,nan,nan,nan,nan,70.54166666666667

nan,nan,nan,nan,nan,nan,nan,nan,58.54166666666666

26.2,30.2,24.4,1001.0,90.0,3.5,10.0,14.8,82.875

24.9,27.3,23.4,1002.4,92.0,2.3,18.5,27.8,64.91666666666667

24.8,28.1,22.6,1004.0,88.0,2.9,16.5,22.2,30.666666666666668

nan,nan,nan,nan,nan,nan,nan,nan,31.75

nan,nan,nan,nan,nan,nan,nan,nan,41.04166666666666

nan,nan,nan,nan,nan,nan,nan,nan,45.25

26.1,30.9,22.5,1006.2,82.0,3.7,14.1,20.6,34.416666666666664

26.5,31.8,22.4,1006.7,80.0,3.4,12.2,18.3,33.166666666666664

27.2,31.8,23.4,1006.7,75.0,4.0,11.5,-,30.625

26.8,31.8,22.9,1006.0,76.0,3.7,13.7,18.3,30.33333333333333

nan,nan,nan,nan,nan,nan,nan,nan,31.75

nan,nan,nan,nan,nan,nan,nan,nan,34.208333333333336

nan,nan,nan,nan,nan,nan,nan,nan,11.625

26.2,32.1,21.6,1007.5,76.0,3.7,8.9,14.8,0.0

27.9,33.8,22.0,1007.2,65.0,3.7,7.2,11.1,0.0

28.4,33.8,22.0,1007.6,64.0,3.7,7.2,11.1,0.0

nan,nan,nan,nan,nan,nan,nan,nan,0.0

nan,nan,nan,nan,nan,nan,nan,nan,0.0

nan,nan,nan,nan,nan,nan,nan,nan,26.166666666666668

29.7,35.1,24.8,1006.2,67.0,3.7,8.1,18.3,76.875

29.5,34.8,25.0,1004.2,66.0,3.7,8.1,14.8,83.45833333333333

29.5,35.5,24.4,1002.1,64.0,3.7,9.8,16.5,71.66666666666667

nan,nan,nan,nan,nan,nan,nan,nan,65.625

nan,nan,nan,nan,nan,nan,nan,nan,53.375

nan,nan,nan,nan,nan,nan,nan,nan,56.083333333333336

29.4,35.3,23.1,1000.9,54.0,3.5,10.6,22.2,69.70833333333333

26.1,32.5,23.0,999.4,80.0,3.7,13.1,22.2,62.375

26.3,30.9,23.2,998.8,83.0,3.7,9.1,18.3,24.875

nan,nan,nan,nan,nan,nan,nan,nan,37.333333333333336

nan,nan,nan,nan,nan,nan,nan,nan,50.125

nan,nan,nan,nan,nan,nan,nan,nan,46.54166666666666

26.8,31.4,23.4,1005.5,75.0,4.0,13.0,18.3,43.958333333333336

26.8,31.6,22.7,1007.8,76.0,3.7,9.4,14.8,41.5

27.7,33.8,22.2,1007.3,72.0,3.5,9.1,11.1,38.79166666666666

nan,nan,nan,nan,nan,nan,nan,nan,48.91666666666666

nan,nan,nan,nan,nan,nan,nan,nan,76.91666666666667

nan,nan,nan,nan,nan,nan,nan,nan,34.458333333333336

26.6,31.1,23.1,1004.5,80.0,3.2,6.9,11.1,30.33333333333333

25.8,29.2,23.4,1005.8,81.0,4.0,11.1,14.8,26.666666666666668

24.4,26.5,23.4,1004.3,92.0,2.7,13.7,18.3,29.0

nan,nan,nan,nan,nan,nan,nan,nan,34.25

nan,nan,nan,nan,nan,nan,nan,nan,62.708333333333336

nan,nan,nan,nan,nan,nan,nan,nan,65.08333333333333

25.6,30.8,22.7,1007.9,87.0,3.4,8.3,18.3,61.708333333333336

25.2,29.8,22.1,1008.6,86.0,3.4,8.7,14.8,60.54166666666666

25.9,29.4,21.9,1008.3,85.0,3.4,8.3,11.1,41.583333333333336

nan,nan,nan,nan,nan,nan,nan,nan,50.91666666666666

nan,nan,nan,nan,nan,nan,nan,nan,40.958333333333336

nan,nan,nan,nan,nan,nan,nan,nan,60.66666666666666

26.4,31.3,22.9,1005.5,76.0,3.4,14.1,22.2,80.04166666666667

25.4,31.0,20.6,1007.7,71.0,4.0,9.3,11.1,82.83333333333333

26.7,32.9,21.5,1008.6,70.0,4.0,5.9,11.1,95.25

nan,nan,nan,nan,nan,nan,nan,nan,115.83333333333331

nan,nan,nan,nan,nan,nan,nan,nan,149.66666666666666

nan,nan,nan,nan,nan,nan,nan,nan,145.58333333333334

26.9,33.3,19.4,1010.7,53.0,4.0,7.2,18.3,126.16666666666669

25.6,32.3,21.2,1010.1,62.0,3.2,5.9,14.8,136.70833333333334

24.6,32.4,17.5,1009.2,56.0,3.1,6.5,9.4,160.66666666666666

nan,nan,nan,nan,nan,nan,nan,nan,173.58333333333334

nan,nan,nan,nan,nan,nan,nan,nan,168.625

nan,nan,nan,nan,nan,nan,nan,nan,174.66666666666666

26.0,30.8,21.8,1008.2,63.0,4.0,15.7,24.1,245.66666666666663

25.3,30.9,20.0,1009.0,69.0,3.7,11.5,18.3,261.6666666666667

24.7,30.9,19.2,1009.9,64.0,3.7,7.8,11.1,272.4166666666667

nan,nan,nan,nan,nan,nan,nan,nan,226.29166666666663

nan,nan,nan,nan,nan,nan,nan,nan,291.7083333333333

nan,nan,nan,nan,nan,nan,nan,nan,207.33333333333331

24.4,32.9,16.6,1013.4,61.0,3.2,5.9,7.6,149.625

24.3,32.0,17.2,1012.3,61.0,3.7,8.7,14.8,99.70833333333331

25.7,31.8,17.2,1013.4,54.0,3.4,9.1,14.8,217.375

23.8,30.8,17.8,1014.6,53.0,3.2,8.7,11.1,309.375

nan,nan,nan,nan,nan,nan,nan,nan,166.91666666666666

nan,nan,nan,nan,nan,nan,nan,nan,429.1666666666667

nan,nan,nan,nan,nan,nan,nan,nan,332.4583333333333

23.2,30.8,17.0,1013.3,65.0,2.7,8.9,14.8,321.5416666666667

23.2,30.0,17.2,1012.7,66.0,2.7,8.3,11.1,278.0

21.5,28.1,17.0,1014.1,71.0,3.2,8.5,18.3,192.33333333333331

nan,nan,nan,nan,nan,nan,nan,nan,235.33333333333331

nan,nan,nan,nan,nan,nan,nan,nan,153.29166666666666

nan,nan,nan,nan,nan,nan,nan,nan,171.54166666666666

20.0,28.1,13.7,1013.1,59.0,3.5,7.0,16.5,224.16666666666663

19.9,27.1,14.2,1014.2,58.0,2.3,7.4,11.1,196.75

17.8,26.2,12.4,1015.9,52.0,3.7,8.3,14.8,221.54166666666663

nan,nan,nan,nan,nan,nan,nan,nan,210.54166666666663

nan,nan,nan,nan,nan,nan,nan,nan,251.20833333333331

nan,nan,nan,nan,nan,nan,nan,nan,172.83333333333334

19.0,28.3,10.0,1015.7,48.0,3.5,5.7,11.1,166.70833333333334

19.1,28.3,10.4,1012.8,52.0,3.2,5.2,9.4,130.70833333333334

19.4,28.2,11.6,1011.9,50.0,3.5,7.8,14.8,194.70833333333331

nan,nan,nan,nan,nan,nan,nan,nan,250.875

nan,nan,nan,nan,nan,nan,nan,nan,274.875

nan,nan,nan,nan,nan,nan,nan,nan,207.91666666666663

21.4,29.6,15.2,1013.2,53.0,3.7,6.7,9.4,134.45833333333334

20.4,29.5,11.9,1012.7,53.0,3.5,7.8,14.8,110.0

21.1,29.2,13.6,1014.0,49.0,3.5,7.6,11.1,160.0

nan,nan,nan,nan,nan,nan,nan,nan,217.91666666666663

nan,nan,nan,nan,nan,nan,nan,nan,184.20833333333331

nan,nan,nan,nan,nan,nan,nan,nan,130.91666666666666

19.8,29.3,12.2,1015.7,50.0,4.0,7.8,14.8,118.91666666666669

21.8,28.9,13.1,1014.0,50.0,3.5,6.5,14.8,176.375

21.4,27.8,17.2,1014.0,64.0,3.5,6.1,16.5,185.95833333333331

nan,nan,nan,nan,nan,nan,nan,nan,195.375

nan,nan,nan,nan,nan,nan,nan,nan,151.04166666666666

nan,nan,nan,nan,nan,nan,nan,nan,170.875

18.9,26.7,9.6,1014.2,50.0,3.5,4.6,9.4,239.125

17.8,28.1,9.6,1013.2,54.0,3.5,4.6,9.4,365.2916666666667

18.6,27.4,10.4,1012.1,52.0,3.5,6.7,9.4,312.2083333333333

nan,nan,nan,nan,nan,nan,nan,nan,237.625

nan,nan,nan,nan,nan,nan,nan,nan,179.33333333333334

nan,nan,nan,nan,nan,nan,nan,nan,122.54166666666669

17.5,25.7,9.8,1014.6,56.0,3.7,6.7,13,121.33333333333331

17.6,25.9,9.0,1013.8,58.0,3.7,8.1,14.8,202.875

17.7,26.8,9.4,1014.8,61.0,3.7,7.2,11.1,260.1666666666667

nan,nan,nan,nan,nan,nan,nan,nan,403.9583333333333

nan,nan,nan,nan,nan,nan,nan,nan,455.5833333333333

nan,nan,nan,nan,nan,nan,nan,nan,382.7083333333333

18.7,26.8,11.7,1011.8,63.0,3.5,10.4,22.2,277.7083333333333

15.8,25.2,10.3,1014.4,57.0,3.5,9.1,18.3,284.1666666666667

16.5,26.0,10.0,1014.0,65.0,2.6,7.8,11.1,288.4166666666667

nan,nan,nan,nan,nan,nan,nan,nan,256.8333333333333

nan,nan,nan,nan,nan,nan,nan,nan,175.75

nan,nan,nan,nan,nan,nan,nan,nan,180.79166666666663

18.2,25.3,13.0,1019.0,73.0,1.6,6.7,11.1,166.91666666666666

17.7,23.9,13.0,1017.7,73.0,2.3,7.8,9.4,169.0

20.3,26.8,15.8,1014.6,67.0,1.9,11.5,16.5,186.04166666666663

nan,nan,nan,nan,nan,nan,nan,nan,185.58333333333331

nan,nan,nan,nan,nan,nan,nan,nan,114.08333333333331

nan,nan,nan,nan,nan,nan,nan,nan,140.45833333333334

19.3,26.3,13.4,1015.9,75.0,1.8,12.4,22.2,nan

16.3,20.2,14.4,1018.5,90,1,11.7,16.5,255.875

16,21.8,13.4,1019.1,88,0.8,9.4,14.8,217.08333333333331

19.7,26.8,14,1016.6,71,2.3,7.8,11.1,229.16666666666663

nan,nan,nan,nan,nan,nan,nan,nan,392.2083333333333

nan,nan,nan,nan,nan,nan,nan,nan,536.5

nan,nan,nan,nan,nan,nan,nan,nan,321.8333333333333

15.6,22,10.4,1016.8,61,3.2,8.9,11.1,298.4583333333333

18.5,26.8,12.4,1015.3,67,3.1,9.1,18.3,264.9166666666667

20.4,27.5,15.3,1012.9,71,2.6,13,14.8,404.5

nan,nan,nan,nan,nan,nan,nan,nan,442.6666666666667

nan,nan,nan,nan,nan,nan,nan,nan,220.95833333333331

nan,nan,nan,nan,nan,nan,nan,nan,251.375

16.2,23.2,11,1017.8,68,1.9,9.3,11.1,188.5

20.1,27.3,13.4,1014.4,68,2.4,10.7,22.2,164.75

19,26,14.9,1015.4,77,1.8,10.4,14.8,376.9166666666667

nan,nan,nan,nan,nan,nan,nan,nan,362.0

nan,nan,nan,nan,nan,nan,nan,nan,235.625

nan,nan,nan,nan,nan,nan,nan,nan,0.0

14.7,21.2,9.4,1021,77,1.9,11.5,14.8,0.0

19.2,25.9,11.2,1018.2,75,1.6,7.2,7.6,0.0

19.2,25.5,15.5,1017.7,77,1.9,12,16.5,57.0

nan,nan,nan,nan,nan,nan,nan,nan,114.33333333333331

